id,generation,emotion,source,target
00065,20s,긍정,"오늘 친구랑 인생샷 건지러 갔는데, 그동안의 고나리를 다 털어버린 느낌이야! 진짜 꿀잼이었어.","오늘 친구와 함께 인생 사진을 찍으러 갔는데, 그동안의 고민을 다 털어버린 기분이에요! 정말 재미있었어요."
00066,20s,긍정,"요즘 감성샷 찍느라 바쁘긴 한데, GG는 진짜 너밖에 없더라.","요즘 감성 사진 찍느라 바쁘긴 한데, 당신은 진짜 소중한 존재네요."
00067,20s,긍정,"이번 여름은 감성샷 찍으러 가는 게 진리인 듯, 다들 존맛탱 음식 먹으면서 힐링타임 즐기자!","이번 여름은 감성 사진을 찍으러 가는 것이 진리인 것 같아요, 모두들 맛있는 음식을 먹으면서 힐링 시간을 즐깁시다!"
00068,20s,긍정,"오늘 외출했는데 감성샷이 너무 잘 나와서 인생샷 찍은 기분이야, ㄴㅇㄱ?","오늘 외출했는데 감성 사진이 너무 잘 나와서 인생 사진을 찍은 기분이야, 그렇지?"
00069,20s,긍정,요즘 내 갓생을 위한 꿀템 찾는 재미가 쩔어.,요즘 내 삶을 위한 좋은 아이템을 찾는 재미가 정말 좋다.
00070,10s,긍정,"이번 주말에 친구들이랑 랜선모임 할 건데, 진짜 꿀템 추천 좀 해줘! ㅋㅋ","이번 주말에 친구들과 온라인 모임을 할 건데, 좋은 아이템 추천 좀 해줘!"
00071,20s,긍정,"오늘 남아공 트레이너랑 운동했는데, 감성폭발하는 순간이었어! 진짜 너무 꿀잼이었고, 운동 후에 샌드위치 먹으러 갔는데 존맛탱이었어.","오늘 남아공 트레이너와 운동했는데, 감정이 북받치는 순간이었어요! 정말 너무 재미있었고, 운동 후에 샌드위치를 먹으러 갔는데 정말 맛있었어요."
00072,20s,긍정,"요즘 너의 감성샷이 너무 갓벽해서 나도 따라 해보고 싶어, ㅋㅋ.",요즘 너의 감성 사진이 너무 완벽해서 나도 따라 해보고 싶어.
00073,20s,긍정,"오늘은 꿀템 발견해서 기분 좋다 ㅎㅎ, 이건 진짜 존맛탱이야!",오늘은 좋은 물건을 발견해서 기분이 좋다. 이건 정말 맛있다!
00074,20s,긍정,"이번 주말에 친구들이랑 랜선으로 게임할 건데, 진짜 꿀잼일 것 같아! ㅇㅈ이지?","이번 주말에 친구들과 온라인으로 게임할 건데, 정말 재미있을 것 같아요. 맞죠?"
00075,10s,긍정,"이번 주말에 친구들이랑 랜선으로 바로 먹방 하기로 했는데, 기대된다 ㅋㅋ.","이번 주말에 친구들이랑 온라인으로 함께 먹방을 하기로 했는데, 기대된다."
00076,10s,긍정,"이번 주말에 친구들이랑 랜선 모임 하는데, 꿀템 가져와야지 ㅋㅋ.","이번 주말에 친구들과 온라인 모임을 할 건데, 좋은 물건을 가져가야겠어요."
00077,10s,부정,"어제 친구랑 감성샷 찍으러 갔는데, 갑분싸라서 다들 노잼 모드였어 ㅋㅋ.","어제 친구와 함께 감성 사진을 찍으러 갔는데, 분위기가 갑자기 싸해져서 모두 재미없어졌어요 ㅎㅎ."
00078,20s,긍정,"오늘 친구들이랑 감성샷 찍으러 갔는데, 진짜 꿀템이 많아서 너무 좋았어! ㅎㅂㅎ","오늘 친구들과 감성적인 사진을 찍으러 갔는데, 정말 좋은 아이템들이 많아서 너무 기뻤어요!"
00079,20s,긍정,"내가 요즘 한 달에 한 번씩 갓벽한 감성샷 찍으러 혼술하러 가는 데, 그 대리석 바닥이 진짜 미쳤다.","요즘 한 달에 한 번씩 완벽한 감성 사진을 찍으러 혼자 술 마시러 가는 데, 그 대리석 바닥이 정말 대단하다."
00080,20s,긍정,"요즘 친구들이랑 랜선으로 감성샷 찍으러 갔는데, 진짜 갓벽한 장면이었어, ㅇㅈ이지?","요즘 친구들과 온라인으로 감성 사진을 찍으러 갔는데, 정말 완벽한 장면이었어요, 그렇죠?"
00081,20s,긍정,"오늘 완소남이랑 감성샷 찍으러 갔는데, 갓벽한 날씨라 진짜 기분이 좋았어! ㅎㅎ","오늘 특별한 친구와 함께 감성적인 사진을 찍으러 갔는데, 정말 완벽한 날씨라 기분이 좋았습니다!"
00082,20s,긍정,"어제 친구들이랑 혼술하면서 감성샷 찍었는데, 완전 갓생이었다. ㅎㅎ","어제 친구들과 혼자 술을 마시면서 감성적인 사진을 찍었는데, 정말 좋은 시간이었다. ㅎㅎ"
00083,20s,부정,오늘 감성샷 찍으려고 했는데 갑자기 고구마가 튀어나와서 완전 갑분싸 됐어.,오늘 감성 사진을 찍으려고 했는데 갑자기 불편한 상황이 생겨서 완전히 분위기가 뚝 떨어졌어.
00084,20s,긍정,이번 주말에 친구들이랑 감성샷 찍으러 갑분띠 가기로 했어!,이번 주말에 친구들과 감성적인 사진을 찍으러 갑자기 가기로 했어요!
00085,10s,긍정,오늘 나랑 감성샷 찍으러 가자! ㅇㅈ이지?,오늘 나와 함께 사진 찍으러 갈래? 그렇지?
00086,20s,긍정,오늘은 꿀템 쇼핑하고 감성샷 찍으러 나가야겠다! ㅇㅈ이지?,오늘은 좋은 물건을 쇼핑하고 감성 있는 사진을 찍으러 나가야겠다! 괜찮지?
00087,20s,긍정,오늘 혼술하면서 인생샷 찍고 감성폭발했다! ㅈㄴ 좋아!,오늘 혼술을 하면서 인생 사진을 찍고 기분이 매우 좋았다!
00088,10s,긍정,"요즘 인스타에 올린 감성샷이 진짜 잘 나왔는데, 친구들이 다들 ㅇㅈ이지 하더라고.","요즘 인스타에 올린 감성 사진이 정말 잘 나왔는데, 친구들이 다들 인정하더라고."
00089,20s,긍정,"오늘 친구랑 카페 가서 감성샷 찍었는데, 진짜 갓생느낌이었어! ㅇㅈ?","오늘 친구와 카페에 가서 감성 있는 사진을 찍었는데, 정말 기분이 좋았어요! 그렇죠?"
00090,20s,긍정,오늘은 갓생 살기 위해서 혼밥하며 꿀템 찾는 중이에요! ㅋㅋ,오늘은 좋은 삶을 살기 위해서 혼자 밥을 먹으면서 좋은 아이템을 찾고 있어요!
00091,20s,부정,"어제 친구들이랑 감성샷 찍으러 갔는데, 갑분싸 돼서 노잼 되는 바람에 멘붕이었어.","어제 친구들과 감성을 담은 사진을 찍으러 갔는데, 분위기가 갑자기 싸해져서 재미없게 되어 멘붕이었어."
00092,20s,긍정,"오늘 나 혼자서 먹방하려고 하는데, 갓생 살면서 꿀템 찾기 위해 GG치고 들어갔어.","오늘 혼자서 먹방을 하려고 하는데, 좋은 삶을 살기 위해 좋은 물건을 찾기 위해 들어갔어."
00093,20s,중립,오늘도 내 돈 쓰면서 갓생 살기 위해 GG 치고 뭐 먹을지 고민세 중이야.,오늘도 내 돈을 쓰면서 좋은 삶을 살기 위해 고민하고 있다.
00094,20s,긍정,이번 주말에 갓벽한 감성샷 남기고 싶어서 혼코노 간다!,이번 주말에 완벽한 감성 사진을 남기고 싶어서 혼자서 노래방에 가려고 해.
00095,10s,긍정,주말에 나랑 랜선모임 하는 거 ㄴㅇㄱ? 꿀템 소개해줄게!,주말에 나와 온라인 모임 하는 거 괜찮지? 좋은 아이템 소개해줄게!
00096,20s,긍정,오늘 갓벽한 감성샷 찍어서 인스타에 올렸더니 다들 ㅇㅈ해줘서 기분이 좋네!,오늘 완벽한 감성 사진을 찍어서 인스타그램에 올렸더니 모두가 인정해 줘서 기분이 좋네요!
00097,20s,긍정,오늘 졌잘싸 해주고 싶은 갓생 찍었다 ㅋㅋ,오늘 멋지게 잘 마무리하고 싶어서 좋은 하루를 보냈다.
00098,20s,긍정,"오늘 친구들과 감성샷 찍으러 갔는데, 진짜 너무 꿀잼이라서 몬가 했어 ㅋㅋ.","오늘 친구들과 함께 감성 있는 사진을 찍으러 갔는데, 정말 너무 재미있어서 뭐라고 표현해야 할지 모르겠어요 ㅎㅎ."
00099,20s,긍정,"오늘 친구들이랑 혼코노 했는데, 갓생 느낌이었어! ㅎㅎ","오늘 친구들과 함께 혼자 노래방에서 놀았는데, 정말 좋은 느낌이었어!"
00100,20s,부정,"오늘 너무 힘들었는데, 친구랑 혼술하면서 잔잔한 감성샷 찍으니까 갑분싸였어.","오늘 정말 힘들었는데, 친구와 함께 혼자 술을 마시면서 잔잔한 사진을 찍으니까 분위기가 갑자기 싸해졌어."
00101,20s,긍정,오늘 친구랑 감성샷 찍으러 ㄴㅇㄱ 했는데 진짜 존잼이다!,오늘 친구와 감성적인 사진을 찍으러 가기로 했는데 정말 재미있다!
00102,20s,긍정,"이번 주말에 친구들이랑 혼술하면서 꿀잼 영상 찍기로 했어, 존맛탱 음식도 다 준비했지!",이번 주말에 친구들과 함께 혼자 술을 마시며 재미있는 영상을 찍기로 했어요. 맛있는 음식도 다 준비했죠!
00103,20s,긍정,"오늘은 감성샷 찍으러 가기 전에 갓벽한 카페 발견했어, ㄴㅇㄱ?","오늘은 감성 사진을 찍으러 가기 전에 아주 멋진 카페를 발견했어, 너도 가고 싶지?"
00104,20s,긍정,오늘은 내 돈 내산으로 갓벽한 감성샷 찍어봤어! 진짜 꿀잼이었음 ㅎㅎ,오늘은 내 돈으로 완벽한 감성 사진을 찍어봤어! 진짜 매우 즐거웠어.
00105,20s,긍정,"오늘 완소남이랑 갬성샷 찍었는데, 진짜 미쳤다!","오늘 정말 멋진 남자와 감성적인 사진을 찍었는데, 정말 대단했어요!"
00106,10s,긍정,"이번 주말에 친구들이랑 랜선으로 게임하기로 했는데, 진짜 꿀잼일 듯! ㅇㅈ?","이번 주말에 친구들과 온라인으로 게임하기로 했는데, 정말 재미있을 것 같아요! 그렇죠?"
00107,20s,부정,"오늘은 갓생 살려고 일찍 일어나서 감성샷 찍으러 갔는데, 갑분싸라서 뭔가 아쉬워.","오늘은 새로운 하루를 시작하려고 일찍 일어나서 감성적인 사진을 찍으러 갔는데, 분위기가 갑자기 싸해져서 아쉬웠다."
00108,20s,긍정,"주말에 친구들이랑 혼술 하는데, 진짜 갓벽한 분위기였다 ㅋㅋ","주말에 친구들과 혼자 술을 마셨는데, 정말 완벽한 분위기였다."
00109,10s,긍정,요즘 내 감성샷 찍으면 진짜 갓벽하게 나와서 놀라워!,요즘 내 감성 사진을 찍으면 정말 완벽하게 나와서 놀랍다!
00110,20s,부정,"어제 친구랑 감성샷 찍으러 갔는데, 갑분싸 되는 바람에 현타 왔어.","어제 친구와 함께 감성적인 사진을 찍으러 갔는데, 분위기가 갑자기 쳐져서 허탈했어요."
00111,20s,부정,"요즘 너네는 갓생 살아서 대박 부럽다, 난 노잼 인생이라 GG야.",요즘 너희는 멋진 인생을 살아서 정말 부럽다. 나는 지루한 인생이라 좀 힘들어.
00112,20s,긍정,"오늘 친구랑 카페에서 감성샷 찍으면서 꿀템 얘기했는데, 진짜 갓벽한 하루였어!","오늘 친구와 카페에서 감성 있는 사진을 찍으면서 좋은 물건에 대해 이야기했는데, 정말 완벽한 하루였어!"
00113,20s,긍정,"이번 주말엔 감성샷도 찍고, 친구들이랑 혼술할 예정인데, 존잼일 것 같아!","이번 주말에는 좋은 감성의 사진도 찍고, 친구들과 함께 술을 마실 예정인데, 정말 재미있을 것 같아!"
00114,20s,긍정,갓벽한 카페에서 ㅇㅈ이지? 감성샷 찍는 거 진짜 꿀잼이야.,완벽한 카페에서 정말 좋지 않나요? 감성적인 사진 찍는 것은 정말 재미있어요.
00115,10s,부정,오늘 날씨가 갑분싸라서 혼밥하면 좋을 것 같아.,오늘 날씨가 갑자기 우울해서 혼자 밥 먹으면 좋을 것 같아.
00116,20s,긍정,"오늘 완전 존맛탱인 디저트 먹었는데, 감성샷 쫌 찍으니까 친구들이 다들 ㅇㅈ이지 ㅋㅋ","오늘 정말 맛있는 디저트를 먹었는데, 감성적인 사진을 찍으니까 친구들이 모두 동의하더라고요."
00117,20s,긍정,"이번 주말에 친구들이랑 랜선으로 GG 해보려고 하는데, 기대되는 건 진짜 내 인생샷이 나올 것 같아!","이번 주말에 친구들과 함께 온라인으로 게임을 해보려고 하는데, 기대되는 것은 정말 내 인생 사진이 나올 것 같아!"
00118,20s,부정,"오늘 감성샷 찍으러 갔는데, 갑분싸라서 ㅇㅈ?","오늘 감성 사진을 찍으러 갔는데, 분위기가 갑자기 싸해져서 인정하지?"
00119,20s,긍정,"요즘 인스타그램에 감성샷 올리면 진짜 대박이더라, 완소남들 반응 존잼!","요즘 인스타그램에 감성 사진을 올리면 정말 대단한 반응이 온다, 매력 있는 남자들이 반응이 재밌다!"
00120,20s,긍정,오늘 날씨가 ㄴㅇㄱ이라서 감성샷 존맛탱 찍었다!,오늘 날씨가 정말 좋아서 감성적인 사진을 멋지게 찍었다!
00121,20s,부정,"오늘 완전 꿀잼 영상 발견했는데, ㅇㅈ이지? 나 혼자서 ㅋㅋㅋ 보다가 현타 왔어.","오늘 정말 재밌는 영상을 발견했는데, 맞지? 나 혼자서 보다가 갑자기 멘붕이 왔어."
00122,20s,긍정,"이번 주말에 친구들이랑 랜선모임 할 건데, 꿀잼 보장이라서 기대돼!","이번 주말에 친구들과 온라인 모임을 할 건데, 재미있을 것 같아서 기대돼!"
00123,20s,긍정,"오늘 진짜 GG다, 완전 미쳤어! 이거 보니까 감성폭발하고 간다.","오늘 정말 대단하다, 완전히 놀라워! 이걸 보니 감정이 폭발할 것 같다."
00124,20s,긍정,"이번 주말에 친구들이랑 랜선 모임 하기로 했는데, 진짜 꿀잼이 될 것 같아. ㅋㅋ","이번 주말에 친구들과 온라인 모임을 하기로 했는데, 정말 재미있을 것 같아."
